EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	17:40:27	0	0.1000	0.10990713959970341	0.05425841361284256	0.8315	0.7762	0.8029	0.6719
2	17:41:08	0	0.1000	0.05044869508670364	0.022670885547995567	0.9109	0.9375	0.924	0.8595
3	17:41:48	0	0.1000	0.03888041944489596	0.019655097275972366	0.9141	0.9546	0.9339	0.8769
4	17:42:28	0	0.1000	0.0325771575828833	0.016804223880171776	0.922	0.9526	0.937	0.8824
5	17:43:08	0	0.1000	0.030078549747866737	0.01630096510052681	0.9375	0.9375	0.9375	0.8824
6	17:43:49	1	0.1000	0.02704274637752719	0.019300760701298714	0.9597	0.8881	0.9225	0.8562
7	17:44:27	0	0.1000	0.025478620453392966	0.014335023239254951	0.9429	0.9486	0.9457	0.897
8	17:45:09	1	0.1000	0.025886138367306705	0.017200807109475136	0.9494	0.9274	0.9383	0.8838
9	17:45:48	0	0.1000	0.023061033590722563	0.014037301763892174	0.96	0.9446	0.9522	0.9088
10	17:46:28	1	0.1000	0.022062837388056904	0.01348404586315155	0.9589	0.9415	0.9502	0.905
