EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	00:25:47	0	0.1000	0.2634031684758843	0.8844	0.9327	0.9079	0.8416	0.08801651000976562	0.8642	0.916	0.8893	0.8128
2	00:27:12	0	0.1000	0.09424436807062675	0.9282	0.9494	0.9386	0.8942	0.0552859865128994	0.9118	0.9374	0.9244	0.8716
3	00:28:40	0	0.1000	0.07174096007669886	0.9392	0.9639	0.9514	0.9173	0.04551102593541145	0.9245	0.9525	0.9383	0.8974
4	00:30:06	0	0.1000	0.060390174340489225	0.9487	0.9604	0.9545	0.9226	0.04117140918970108	0.936	0.9506	0.9432	0.9021
5	00:31:37	0	0.1000	0.05426710061290256	0.9545	0.9686	0.9615	0.935	0.03721347451210022	0.9367	0.9553	0.9459	0.9083
6	00:33:07	0	0.1000	0.04985168655613861	0.9609	0.9709	0.9659	0.9428	0.036527540534734726	0.953	0.9623	0.9576	0.9276
7	00:34:35	0	0.1000	0.045518447389624905	0.96	0.9748	0.9674	0.9452	0.032530028373003006	0.9517	0.965	0.9583	0.9281
8	00:36:05	1	0.1000	0.04133600025913449	0.9629	0.9768	0.9698	0.9494	0.03329326584935188	0.9469	0.9638	0.9553	0.9256
9	00:37:35	2	0.1000	0.038844929376853535	0.9689	0.977	0.9729	0.9553	0.03175075352191925	0.9523	0.9623	0.9572	0.9276
10	00:39:03	0	0.1000	0.03665972281269795	0.9728	0.9792	0.976	0.961	0.02740071341395378	0.9572	0.9654	0.9613	0.9341
